date,distance(A-B),distance(A-C),distance(A-D),distance(B-C),distance(B-D),distance(C-D),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-07-20 00:00:00+00:00,998.2519851193531,0,0,0,0,0,60.926325160136486,61.027597457617986,6978223.425426161,97.7532924307636,0.002468131187794683,215.2541692455581,99.2461127218656,-156.33776990136587
2025-07-21 00:00:00+00:00,997.3727811661265,0,0,0,0,0,61.11457365033689,61.21618264563404,6978222.503454319,97.75329379724279,0.0024785554802064774,216.23340698067486,-262.40377542758,160.0944775941536
2025-07-22 00:00:00+00:00,999.8074533618598,0,0,0,0,0,61.30799248341607,61.41000378167885,6978221.571370518,97.75329511531886,0.0024869217795561085,217.21264530180397,-264.05367287156446,116.52780152390075
2025-07-23 00:00:00+00:00,1002.3167599384919,0,0,0,0,0,61.5064936165242,61.608974915343,6978220.637468929,97.75329638649431,0.0024932222086445853,218.19188423924726,94.29643079908355,72.96219545152238
2025-07-24 00:00:00+00:00,1002.5197492323896,0,0,0,0,0,61.70998462599096,61.813005817225964,6978219.703016184,97.75329761078333,0.002497452085563869,219.17112382240774,92.6465253655934,29.39767122616214
2025-07-25 00:00:00+00:00,1002.249274087032,0,0,0,0,0,61.918369306938914,62.0220025489349,6978218.775419735,97.75329878406583,0.0024996075918964807,220.15036407841475,90.99661807527055,-14.16578156992574
2025-07-26 00:00:00+00:00,1002.6455985034756,0,0,0,0,0,62.13154835724768,62.235868134466685,6978217.837958878,97.7532999071839,0.0024996867341899997,221.12960504424336,89.34666117726337,-57.72811246829684
2025-07-27 00:00:00+00:00,1001.5515041440267,0,0,0,0,0,62.34942009134815,62.454503246380426,6978216.8853274,97.75330097568782,0.0024976904460483717,222.10884675348277,87.69673456385179,-101.28938459955663
2025-07-28 00:00:00+00:00,998.6516363433609,0,0,0,0,0,62.57188099013589,62.67780675208912,6978215.929639311,97.75330198959497,0.002493620392858708,223.08808924023865,86.04674388530549,-144.84949798863371
2025-07-29 00:00:00+00:00,997.5143572009542,0,0,0,0,0,62.79882608049439,62.90567608000696,6978214.973230205,97.75330294528167,0.0024874777802832036,224.06733253860713,-275.6032597490104,171.59149831996757
2025-07-30 00:00:00+00:00,999.6844755381658,0,0,0,0,0,63.03014910786844,63.13800740778637,6978214.031381615,97.75330384676096,0.0024792688392923563,225.0465766767793,-277.2533710623121,128.03369192932755
2025-07-31 00:00:00+00:00,1002.0067198562713,0,0,0,0,0,63.26574259000917,63.37469570730505,6978213.090765824,97.7533046862945,0.0024690020666523014,226.02582169454112,81.0964995067331,84.47698653787862
2025-08-01 00:00:00+00:00,1002.3215661282212,0,0,0,0,0,63.5054977615713,63.61563469996547,6978212.135259041,97.75330546151115,0.0024566839664548895,227.005067623437,79.44631140351049,40.921427960794944
2025-08-02 00:00:00+00:00,1002.4494123728684,0,0,0,0,0,63.74930451701798,63.860716812251354,6978211.109227648,97.75330616026287,0.0024423217151748142,227.98431451754496,77.7961319597108,-2.633001430151641
2025-08-03 00:00:00+00:00,1003.2024938882075,0,0,0,0,0,63.997051345842706,64.10983311299131,6978210.062309203,97.75330678398419,0.0024259314013249564,228.9635624498203,76.14587930232942,-46.186166167788194
2025-08-04 00:00:00+00:00,1002.1973449257457,0,0,0,0,0,64.24862537048026,64.36287336087703,6978209.014172386,97.75330732885655,0.0024075258925045145,229.9428114604262,74.49558335864282,-89.73807903823199
2025-08-05 00:00:00+00:00,999.1977157309915,0,0,0,0,0,64.50391240259906,64.6197260560002,6978207.978220028,97.75330779173579,0.002387122671030092,230.9220615906316,72.84518370237264,-133.2886990270673
2025-08-06 00:00:00+00:00,997.8641946466777,0,0,0,0,0,64.76279707621563,64.88027857315912,6978206.9401085265,97.75330815668138,0.0023647375718696445,231.90131289334724,71.19471935486663,-176.83806044593337
2025-08-07 00:00:00+00:00,999.7150224929896,0,0,0,0,0,65.0251629755697,65.14441729646599,6978205.8769609975,97.7533084115393,0.0023403878972658885,232.8805654406425,-290.45582847318167,139.6138686454949
2025-08-08 00:00:00+00:00,1001.7172109132388,0,0,0,0,0,65.29089276295728,65.41202774166754,6978204.838179948,97.75330853846576,0.0023140943817793686,233.85981931124795,67.89357697830414,96.06704950533197
2025-08-09 00:00:00+00:00,1001.9993451882049,0,0,0,0,0,65.5598681931255,65.68299458537514,6978203.781339968,97.7533084992317,0.002285879177361288,234.83907464372348,66.24290692346443,52.521509438462175
2025-08-10 00:00:00+00:00,1002.4376636728438,0,0,0,0,0,65.83196992362552,65.9572014786789,6978202.717199624,97.75330820463952,0.0022557626498710646,235.81833175918123,64.59221231244031,8.977212431191447
2025-08-11 00:00:00+00:00,1003.5708841291246,0,0,0,0,0,66.10707709495809,66.23453062206659,6978201.624963601,97.75330755868703,0.0022237666948550752,236.79759097086708,62.94158579420388,-34.56591250045642
2025-08-12 00:00:00+00:00,1002.7903774327897,0,0,0,0,0,66.38506658536524,66.51486210346593,6978200.548605925,97.75330689229739,0.0021899297880443535,237.77685103914428,61.290751923453705,-78.10758584323372
2025-08-13 00:00:00+00:00,999.8641287955816,0,0,0,0,0,66.66581211186583,66.79807296525046,6978199.458400941,97.75330620650982,0.0021542789393022965,238.75611196966048,59.63967155033981,-121.64777332058847
2025-08-14 00:00:00+00:00,998.4498206562665,0,0,0,0,0,66.94918314590564,67.08403617509845,6978198.380681256,97.75330550405022,0.0021168435703157297,239.7353737774044,57.98842815963886,-165.1865546069404
2025-08-15 00:00:00+00:00,999.9919181172729,0,0,0,0,0,67.23504387085133,67.37261960900122,6978197.292416381,97.75330478632505,0.002077654900090446,240.71463647130417,-303.6630693792891,151.27616694156825
2025-08-16 00:00:00+00:00,1001.5838589116373,0,0,0,0,0,67.52325226347821,67.66368514079436,6978196.199767873,97.75330405207211,0.0020367457315130185,241.6939000634008,54.685165840838074,107.74040828637445
2025-08-17 00:00:00+00:00,1001.683102230387,0,0,0,0,0,67.81365937439593,67.95708794918302,6978195.104898345,97.7533033054274,0.0019941501918124766,242.6731645680643,53.033175872981545,64.20613069185967
2025-08-18 00:00:00+00:00,1002.2937915369637,0,0,0,0,0,68.10610886332476,68.25267604301376,6978193.989789019,97.75330254391129,0.0019499019392235574,243.6524299925675,51.38091232100687,20.673397210863264
2025-08-19 00:00:00+00:00,1003.7597336616336,0,0,0,0,0,68.40043673234896,68.55028999948189,6978192.890846371,97.75330177692223,0.0019040433356640075,244.6316963449156,49.728349825408614,-22.857767688941422
2025-08-20 00:00:00+00:00,1003.2815170211651,0,0,0,0,0,68.69647132299059,68.84976295264602,6978191.768098082,97.75330099962669,0.001856606941889605,245.61096363566503,48.07553352152338,-66.38739779156624
2025-08-21 00:00:00+00:00,1000.5873539592613,0,0,0,0,0,68.99403346514237,69.15092072311445,6978190.646056019,97.75330022253215,0.0018076362017078152,246.59023186394404,46.42228330725909,-109.91531094685718
