date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-08-21 00:00:00+00:00,997.3014852085198,0,0,0,0,0,-24.904818712020823,-25.446827463711404,6978197.289148213,97.75360010435955,0.0018023714505064892,126.12220080483527,45.76935639330191,-109.55048169764824
2025-08-22 00:00:00+00:00,995.8662613544473,0,0,0,0,0,-24.83329701485201,-25.376018030376844,6978196.236125093,97.75360439878915,0.0017521216695523321,127.10150564340601,44.11511674728153,-153.08371901310582
2025-08-23 00:00:00+00:00,997.2367153107442,0,0,0,0,0,-24.758743728402187,-25.302159738922892,6978195.186939066,97.75360868993928,0.0017004264802954112,128.08081199950965,-317.53949685551356,163.3846240917974
2025-08-24 00:00:00+00:00,998.3447450936477,0,0,0,0,0,-24.681178635300498,-25.225271606558277,6978194.138727752,97.7536129768855,0.0016473261807934804,129.06011986915905,40.80544678441324,119.85461662205674
2025-08-25 00:00:00+00:00,997.9277258351484,0,0,0,0,0,-24.60062606860597,-25.145377228769643,6978193.082439767,97.75361726061381,0.0015928660628114375,130.03942925039848,39.15000022150007,76.32620774125853
2025-08-26 00:00:00+00:00,998.4496483933585,0,0,0,0,0,-24.517115459532157,-25.062505340015772,6978192.011311592,97.75362153974494,0.0015370906512735096,131.01874014337997,37.49407658442715,32.79949967230195
2025-08-27 00:00:00+00:00,1000.2094447417478,0,0,0,0,0,-24.43068159335066,-24.97669005951412,6978190.925559979,97.75362581880694,0.0014800467673426107,131.99805255187792,35.83771660071346,-10.725532770816121
2025-08-28 00:00:00+00:00,1000.0022832701549,0,0,0,0,0,-24.341364707525635,-24.887970966751215,6978189.856516652,97.75363010523225,0.001421784317199146,132.97736646209347,34.18071772854281,-54.248688495333944
2025-08-29 00:00:00+00:00,997.4430990860396,0,0,0,0,0,-24.24921037219627,-24.796393019620506,6978188.7766286675,97.7536343939017,0.0013623498707598324,133.9566818644971,32.523074729560825,-97.7699647438741
2025-08-30 00:00:00+00:00,996.226242185841,0,0,0,0,0,-24.154269318658077,-24.702006382910625,6978187.668175142,97.75363868209806,0.001301789679167301,134.9359987597449,30.86481350548577,-141.28936534286146
