date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2027-12-12 00:00:00+00:00,831.3680240989819,8890.84162846972,8905.204327337586,826.1102169809832,826.1102169809832,826.1102169809832,-20.54108307276973,-21.10907908781286,6977155.784748532,97.75760531246755,0.002462016258409709,232.12231629385576,-265.7182921536418,119.80618187669447
2027-12-13 00:00:00+00:00,833.7830477403327,4892.3268464841585,4520.220030108565,825.5313275525599,825.5313275525599,825.5313275525599,-20.62191492072431,-21.189383655682995,6977154.902250729,97.75760937470996,0.0024670105762061175,233.10262354235397,92.6311160759448,77.46678753027989
2027-12-14 00:00:00+00:00,832.5564599299506,6529.868844694625,5807.436534007957,825.4797609203478,825.4797609203478,825.4797609203478,-20.706200386918404,-21.273177305879077,6977154.028513359,97.75761340735139,0.002469952678415586,234.08293166536933,90.98049540021535,35.12843046968663
2027-12-15 00:00:00+00:00,831.1707419504999,9008.356289569198,8632.267353695506,825.655621198147,825.655621198147,825.655621198147,-20.793886373483975,-21.360407735343657,6977153.15538608,97.75761741123624,0.002470842037167458,235.0632406879102,89.32984156170137,-7.208889474058801
2027-12-16 00:00:00+00:00,832.2758072771898,7898.357087534348,7889.539228642607,825.4625427806006,825.4625427806006,825.4625427806006,-20.884917722367224,-21.451020548754574,6977152.290326074,97.75762138737579,0.0024696751630651484,236.04355063570122,87.6791656999154,-49.54518557359534
2027-12-17 00:00:00+00:00,832.2203049381263,3465.2503544123683,3672.5698762133175,824.7319333968418,824.7319333968418,824.7319333968418,-20.979235415527583,-21.54495747211365,6977151.425953556,97.75762533970584,0.0024664562394213605,237.02386152989146,86.02848702594837,-91.88048669825487
2027-12-18 00:00:00+00:00,828.5824418958773,2282.2256916530177,1952.2239390249542,823.9810793839808,823.9810793839808,823.9810793839808,-21.07677483097196,-21.642154608401214,6977150.573718905,97.75762926402072,0.0024611846300150067,238.0041733958969,84.37781347463077,-134.2148048742125
2027-12-19 00:00:00+00:00,825.8120410192395,6362.314415106469,6283.426940401177,823.9283735899454,823.9283735899454,823.9283735899454,-21.177464437414347,-21.74254111191781,6977149.716216098,97.75763316666078,0.002453868777017303,238.98448625760733,82.72710471359325,-176.54810394021035
2027-12-20 00:00:00+00:00,827.6590590531398,7254.715163056005,7536.096696845106,824.735456369816,824.735456369816,824.735456369816,-21.28122514479727,-21.846038555216516,6977148.860653646,97.7576370441317,0.0024445135125008123,239.96480013306905,-278.9236911898793,141.11966611800617
2027-12-21 00:00:00+00:00,830.4243383482791,5286.630613997359,5960.674025894027,825.7741307436701,825.7741307436701,825.7741307436701,-21.387970234365106,-21.952560861717735,6977148.018732075,97.75764089952403,0.00243312394772124,240.94511504901385,79.42549305273927,98.78843266796618
2027-12-22 00:00:00+00:00,829.8153194738095,4622.322327787883,5274.052631919002,826.1796973369532,826.1796973369532,826.1796973369532,-21.497605802204838,-22.062014742962894,6977147.168428332,97.75764473683238,0.002419714419382855,241.92543102979977,77.7746449478173,56.4582058217423
